id:111412016, acertos:34, precisao:1.000000, revocacao:1.000000, len attr1(xpath):34, len attr2(gab):34
id:111453336, acertos:33, precisao:0.916667, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:111453352, acertos:33, precisao:0.916667, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:111453379, acertos:33, precisao:0.916667, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:111453416, acertos:33, precisao:0.916667, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:111498260, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:111557670, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:111585312, acertos:33, precisao:0.916667, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:111597874, acertos:37, precisao:1.000000, revocacao:1.000000, len attr1(xpath):37, len attr2(gab):37
id:111597891, acertos:37, precisao:1.000000, revocacao:1.000000, len attr1(xpath):37, len attr2(gab):37
id:111642778, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:111645151, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:111645178, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:111645194, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:111645215, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:111734779, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:111734795, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:111737419, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:111737451, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:111737478, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:111794712, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:111816820, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:111848899, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:111857955, acertos:34, precisao:1.000000, revocacao:1.000000, len attr1(xpath):34, len attr2(gab):34
id:111889359, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:111942834, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:111993076, acertos:39, precisao:1.000000, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:112043890, acertos:34, precisao:1.000000, revocacao:1.000000, len attr1(xpath):34, len attr2(gab):34
id:112043911, acertos:34, precisao:1.000000, revocacao:1.000000, len attr1(xpath):34, len attr2(gab):34
id:112043937, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112043953, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112043970, acertos:34, precisao:1.000000, revocacao:1.000000, len attr1(xpath):34, len attr2(gab):34
id:112043996, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112051321, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112051347, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112069328, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112069344, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112069361, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112069387, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:112069408, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112069424, acertos:39, precisao:1.000000, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:112069441, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112069467, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112069483, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112069580, acertos:37, precisao:1.000000, revocacao:1.000000, len attr1(xpath):37, len attr2(gab):37
id:112069601, acertos:40, precisao:1.000000, revocacao:1.000000, len attr1(xpath):40, len attr2(gab):40
id:112095454, acertos:39, precisao:1.000000, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:112095471, acertos:39, precisao:1.000000, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:112095497, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112095518, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
